PartnerID,NationalIDNumber,LoginID,OrganizationLevel,FirstName,MiddleName,LastName,Suffix,JobTitle,BonusMonth,WeekOffDay,PhoneNumber,PhoneNumberType,EmailAddress,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,PAN,UIDAI,SSN,CountryRegionName,BirthDate,Age,MaritalStatus,Gender,HireDate,RetirementYear,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate,ProefficientLanguage,LicenseNumber,PassportNumber,BonusMonth_1,Ethenicity,PercentageLeaveLeft,QuarterVaccationHours,FullName,BloodGroup,Department,BirthDate1,WeekOffDay1,PAN1,UIDAI1,LicenseNumber1,PassportNumber1
11.0,974026903,adventure-works\ovidiu0,,Ovidiu,V,Cracium,,Senior Tool Designer,1$,abc,719-555(0181),Cell,ovidiu009adventure-works.com,475 Sa nt #@a Mar (ia,,Ken^^^more 44,\\\\\Washington,"980""}28",ASDF,9876tyui9001,"646 MKO32 ""{}843",cdfgt,2/11/2030,12,Female,M8+++,12/5/2010,#VALUE!,FALSE,7,2 3< <<,True,{F68C7C19-FAC1-438C-9BB7-AC33FCC341C3},6/30/2014 0:00,e Ng (lish,UP78 2012%784526%,Q2096453,n80ovem : ber,,510,12.45 &^%$,Step45hen Hawking,A& )(+,vending,5/31/1991,abc,AGPCB3705U,9833 8327 6975,AP45 19562435673,A1045608
12.0,480168528,adventure-works\thierry0,k,Thierry,B,D'Hers,,Tool Designer,3 nd ),Wednesd,(168)-555-0183,Work,thierry0&adventure-works.com,7 sh^559 Worth32 %%% Cft.,,Both {!ell,||___| ???1Washington,980 qy1 ua1,ASDF,7865ghjk8901,)#@ 76}{ dk0397010,United States,,15,M,!!!!~`M,12/11/2007,#VALUE!,FALSE,9,2 :{)(4,True,{1D955171-E773-4FAD-8382-40FD898D5D4D},6/30/2014 0:00,A F r&ican,AP45-300057315627,V67 16380,sep72498 ^tember,Indo )(Aryan,dv46,1mc(3.09,B obM5arley,,intern,6/15/1989,Wednesd,AGPCB3705U,6321 8481 2058,AP45 19562435673,V67 16380
13.0,486228782,adventure-works\janice0,,Janice,M,Gal>vin,,Tool Designer,4t h,,473-555+0117,Work,janice0@adventure-works.com,2137 Bir *(chwo ()od D@#r,,R 45edmond,Was %%%hington,)(wi98052,DAJÓ P12><222++4,1234ghjk7891,"5 )24<> 24? ""dy5254",United States,1/29/1969,14,M,FÉ,12/23/2010,#VALUE!,FALSE,8,É2:: ???? ?4\,True,{954B91B6-5AA7-48C2-8685-6E11C6E5C49A},6/30/2014 0:00,P &olish,,A0296458,febu14$rary,Al&% bani)(an,xa^)13,4.7js 2&,Step45hen Hawking,?>45A negative-,floor,1/4/1991,,DAJÓ P12><222++4,5485 5000 8000,,A1045608
14.0,42487730,adventure-works\michael8,a,Michael,I,Sull!ivan,,Senior Design Engineer,11 %th,Monday 2,465-555-0156g,Cell,michael8+adventure-works.com,5 6 ^%78 Lak &eview Blv {}d.,,"Rent36)* o """"n",____W ashingt 83onÉ,B!`98055,XGÓZ4 5D213%%%%6,123@#4567nn,1 :ajjda^54160893,United States,6/16/1979,10,S,<>M,12/30/2010,#VALUE!,TRUE,3,2:01,True,{46286CA4-46DD-4DDB-9128-85B67E98D1A9},6/30/2014 0:00,C #hine $SE,AP45-300057315627,Q2096454,7327april^&,W hi&5te,4 ^&6 fs,8dajds,Ma noj263 Bajpayee,42 *B-negative,local,6/25/1989,Monday 2,XGÓZ4 5D213%%%%6,3066 2940 6413,AP45 19562435673,A1045608
15.0,56920285,adventure-works\sharon0,g,Sharon,B,Salavaria,,Design Engineer,3r Àd,Tuesday *****3,970-555-0138lk,Cell,sharon0//adventure-works.com,9 435 Bre &*ck Cour &#t,,Re &^ nto|||n,"()274Washington""""""""",_____slkx98007,B ^%A JPC4350M&,1234abcd4569,"48039""""""""Pnck0512",United States,5/2/1961,90,M,{{{ F}}}},1/18/2011,#VALUE!,TRUE,4,22-pr,True,{54F2FDC0-87C4-4065-A7A8-9AC8EA624235},6/30/2014 0:00,J a panes e,SP12 20084567289,12096458,Ja (nua ry,,801,,Al 4exandra C90lave,A ()B+,vending,2/15/1989,Tuesday *****3,AGPCB3705U,7322 8440 2681,SP12 20084567289,12096458
16.0,24756624,adventure-works\david0,1,David,M,Bradl+ey,,Marketing Manager,12t )(h,Wednesday -----4,913-555-0172#,Work,david0Padventure-works.com,435@ 0 Min ()ute Dr.$$,,"Re :""dm +_ond",Mi ###@Énnesota,postal---98056,,9876zxcv5680,hsdzcbvb 755284519,United States,3/19/1975,88,S,&@M,12/20/2007,3/19/2035,TRUE,40,""" 40:st r",True,{E87029AA-2CBA-4C03-B948-D83AF0313E28},6/30/2014 0:00,e Ng (lish,UK06 20203718496,A209645705,Feb %%,Al&% bani)(an,3 0,1.4d (),Rob 17Watt,___AB-,intern,1/8/1989,Wednesday,,3425 0653 1151,UK06 20203718496,A1045608
17.0,253022876,adventure-works\kevin0,2,Kevin,F,Brown,,Marketing Assistant,2 m>,,#150-555-0189,Cell,kevin0$adventure-works.com,8 sh^559 Worth32 %%% Cft.,,"Ev e 77 "":26rett",Wa ::_=shington,ahd)))98053,,9876tyui9002,34 ^^^^djdsbjvz2070717,United States,,78,S,MA& LE,1/26/2007,#VALUE!,FALSE,42,87++,True,{1B480240-95C0-410F-A717-EB29943C8886},6/30/2014 0:00,A F r&ican,Hp45 198625471895,V67 16380,Mar !!! ch,W hi&5te,9 *& 0,3.1yt%,Pe46 ter Parker,O89+,floor,4/15/1989,,,3968 4957 8725,Hp45 198625471895,V67 16380
18.0,222969461,adventure-works\john5,2,John,L,Wo*od,,Marketing Specialist,5RT&,abc,486-&555-0150,Work,john5!adventure-works.com,2138 Bir *(chwo ()od D@#r,,"Re"":dmÉÉond",Was 89hi>>>><<$ngton,"55402""""""",,7865ghjk8902,52 1***)dja25621009878,United States,3/6/1978,9,S,F3,2/7/2011,#VALUE!,FALSE,48,4 LLLL4,True,{64730415-1F58-4E5B-8FA8-5E4DAEBA53B4},6/30/2014 0:00,P &olish,,V92 & 32808,ap #@r,,1+_3,,B obM5arley,A% $+,local,6/25/1989,abc,,8587 9139 2785,,A1045608
19.0,52541318,adventure-works\mary2,2,Mary,A,Dempsey,,Marketing Assistant,9:done,Saturday,124-555-*0114,Cell,mary2@adventure-works.com,6 6 ^%78 Lak &eview Blv {}d.,,BeÉÉÉÉÉllevue,W :()))a shington,(+98004),0,1234ghjk7892,PPP)(51125621009879,United States,,98,S,M2,2/14/2011,#VALUE!,FALSE,43,4IO1,True,{1F6DA901-C7F7-48A8-8EEF-D81868D72B52},6/30/2014 0:00,C #hine $SE,HR06 19$ 4556251468,V67 16380,ma%y$,B <>lack,665,,Step45hen Hawking,B 12+,vending,3/28/1989,Saturday,0,9502 1517 6995,AP45 19562435673,V67 16380
20.0,323403273,adventure-works\wanida0,2,Wanida Benshoof Benshoof,M,Benshoof,,Marketing Assistant,10>mo nthÀ,,708-555%0141,Work,wanida0@adventure-works.com,10 435 Bre &*ck Cour &#t,,Sammam *6678Éish,Washington,98055doxck,B A123&&!!!@45 6ÓM1,123@#4567nn,51125622 ____dusjf009878,United States,1/1/2031,99,s,M<,1/26/2007,#VALUE!,FALSE,41,6fffff10,True,{43CCA446-DA1C-454C-8530-873AD2923E1B},6/30/2014 0:00,J a panes e,UP78 2012%784526%,L12 290RT 75,Ja (nua ry,Uzb __ek,820,4.7js 2&,Ma noj263 Bajpayee,O+5 6?,intern,6/25/1989,,AGPCB3705U,9826 6359 8852,AP45 19562435673,L12 290RT 75
21.0,243322160,adventure-works\terry0,2,Terry Eminhizer Terraaay,J,Emin^hizer,,Marketing Specialist,1$,Fri,138-555-0118,Cell,terry0@adventure-works.com,5671 B^&%@ el Ai>< r Dr.,,Newport Hil&ls,W>>>>><<<++!ashington,99 ldazj! 028,1234,1234abcd4570,"52 """"""""125621009878",United States,,100,s,fem :::ale,1/27/2007,#VALUE!,FALSE,44,"3 ""0",True,{AD0D7626-4506-45C4-898F-9D7A0E13AABD},6/30/2014 0:00,Spanish,AP45-300057315628,A10 V37909,Feb %%,Portugue )(&se,dv47,12.45 &^%$,Al 4exandra C90lave,,floor,3/28/1989,Fri,1234,3052 7875 6145,AP45 19562435673,A10 V37909
22.0,95958330,adventure-works\sariya0,2,Sariya Harnpadoungsataya sarya,E,Harnpadoungsataya,,Marketing Specialist,4 nd ),,399-555-0176,Work,sariya0@adventure-works.com,7049 L^a%^ ur &?~! el,,ReÉnton,"C ,,,@!alifornia","98vsxj""202",XGZ 4@!][5D2Ó135,9876zxcv5681,5112++++^^^ajm5621009879,United States,2/4/2030,96,S,M466,1/28/2007,#VALUE!,FALSE,45,21_____,True,{AF21F1B7-0691-48AD-B325-B8F2D7B2268A},6/30/2014 0:00,English,,A0296458,Mar !!! ch,Poli *&sh,xa^)14,,P 78riya Nutan,,local,2/5/1989,,XG ZF@E 722%5A,3076 6146 3849,,A1045608
23.0,767955365,adventure-works\mary0,2,Helen Gibson Eminhizer,E,Gibson,,Marketing Specialist,4t h,mdy,531-555-0183,Work,mary0@adventure-works.com,476 Sa nt #@a Mar (ia,,Redmo nd___,\\\\\Washington,"98a 0 ""@05",BA */'\123Ó45 6M2,1234ghjk7892,PO ()380984579,United States,,106,Married,M1043,1/29/2007,#VALUE!,FALSE,46,80hrs,True,{90899830-127E-4876-85CA-7F6E03025281},6/30/2014 0:00,Hi nDi! *,UK06 20203718496,Q2096454,ap #@r,Indo )(Aryan,5 ^&6 fs,4.7js 2&,Rob 17Watt,,vending,5/31/1991,mdy,BA */'\123Ó45 6M1,4718 7188 2819,UK06 20203718496,A1045608
24.0,72636981,adventure-works\jill0,2,Jill Williamns Jill Terry,A,Williams,,Marketing Specialist,12 %th,,510-555-0121,Work,jill0@adventure-works.com,5671 B^&%@ el Ai>< r Dr.,,Mi []?nn 373eapolis,||___| ???1Washington,_ __94110,D AJÓP1222$$24,,136 ???64 9870,United States,2/6/2031,12,Married,FE ()MME,1/30/2007,#VALUE!,FALSE,47,3 2mins,True,{53575C58-FBA1-4C1A-B8FF-95E050B44393},6/30/2014 0:00,Po l@iSH,Hp45 198625471896,V67 16380,ma%y$,Al&% bani)(an,802,8dajds,Pe46 ter Parker,43 *B-negative,intern,6/15/1989,,DAJÓ P12><222++4,5177 5394 4789,Hp45 198625471896,V67 16380
25.0,519899904,adventure-works\james1,1,James,R,Hamilton,,Vice President of Production,3r Àd,Thurs,870-555-0122,Work,james1@adventure-works.com,7049 L^a%^ ur &?~! el,,B45el *()le vueÉ,Was %%%hington,"980""}29",XGZ4 &^5D2 13?:6,,55?335MK8106,United States,2/7/2030,15,Single,F()(),2/14/2011,#VALUE!,TRUE,64,23s ecs,True,{D7314F24-2AF1-429C-9BBB-4038F45F3E6C},6/30/2014 0:00,Ru $$sssian,aw23-19676 %28105725479,A0296459,j u ___ne,W hi&5te,4 0,7 ^.8,B obM5arley,,floor,1/4/1991,Thurs,AGPCB3705U,3811 0238 6944,AP45 19562435673,A1045608
26.0,277173473,adventure-works\peter0,2,Peter,J,Krebs,,Production Control Manager,12t )(h,Tue 79,913-555-0196,Work,peter0@adventure-works.com,476 Sa nt #@a Mar (ia,,R3e nt on{}?><,____W ashingt 83onÉ,981 qy1 ua1,B A1#@ 23 ><456M3,,É434044955,United States,2/8/2030,14,Single,....23M,2/15/2011,#VALUE!,TRUE,43,50É,True,{69D5D162-E817-45E7-9DEC-5D9B8310E7B1},17:08.6,e Ng (lish,hr06 201278904568,Q2096455,ju %!>l,As&^ian,10 *& 0,,Step45hen Hawking,___AB-,local,6/25/1989,Tue 79,AGPCB3705U,3750 8430 7653,hr06 201278904568,A1045608
27.0,446466105,adventure-works\jo0,3,Jo,A,Brown,,Production Supervisor - WC60,3 m>,Monday 3,632-555-0129,Cell,jo0@adventure-works.com,8 sh^559 Worth32 %%% Cft.,,K en (*&more,"()274Washington""""""""",)(wi98053,,,"647 MKO32 ""{}843",United States,2/9/2031,10,Single,M8+++,2/16/2011,#VALUE!,FALSE,80,p ++++52,True,{83FFAAC6-B895-481F-B897-14F965D4DA47},6/30/2014 0:00,A F r&ican,HR06 19$ 4556251468,12096459,a^ug(ust,,1+_4,3.1yt%,B obM5arley,O89+,vending,2/15/1989,Monday 3,,4755 8766 9949,AP45 19562435673,12096459
28.0,14417807,adventure-works\guy1,4,Guy,R,Gilbert,,Production Technician - WC60,5RT&,Tuesday *****4,320-555-0195,Work,guy1@adventure-works.com,2138 Bir *(chwo ()od D@#r,,Evere t####?t,Mi ###@Énnesota,B!`98056,0,,)#@ 76}{ dk0397011,United States,,90,Single,!!!!~`M,2/17/2011,#VALUE!,FALSE,21,x+51hrs,True,{AAE1D04A-C237-4974-B4D5-935247737718},6/30/2014 0:00,Spanish,UP78 2012%784526%,A209645706,sep ][,,975,12.45 &^%$,Step45hen Hawking,A% $+,intern,1/8/1989,Tuesday *****4,0,9833 8327 6975,AP45 19562435673,A1045608
29.0,948320468,adventure-works\mark1,4,Mark,K,McArthur,,Production Technician - WC60,9:done,Wednesday -----5,417-555-0154,Work,mark1@adventure-works.com,6 6 ^%78 Lak &eview Blv {}d.,,Be////|\llevue,Wa ::_=shington,_____slkx98008,B ^%A JPC4350M&,1234ghjk7893,"6 )24<> 24? ""dy5254",United States,2/11/2030,88,Single,F,2/18/2011,#VALUE!,FALSE,19,>>> 6 5,True,{CDB2C6DF-93E5-4558-91C8-424D5E7C658B},6/30/2014 0:00,Engli sh$,AP45-300057315628,F60$)45606,october*****,,1130,1mc(3.10,Ma noj263 Bajpayee,B 12+,floor,4/15/1989,Wednesday,AGPCB3705U,6321 8481 2058,AP45 19562435673,F60$)45606
30.0,410742000,adventure-works\britta0,4,Britta,L,Simon,,Production Technician - WC60,10>mo nthÀ,,955-555-0169,Cell,britta0@adventure-works.com,10 435 Bre &*ck Cour &#t,,Sa n F 089rancÉisco|||||,Was 89hi>>>><<$ngton,postal---98057,"D)(,AJ %PC4150P",123@#4567nn,2 :ajjda^54160893,United States,,78,Single,<>M,2/19/2011,#VALUE!,FALSE,14,3 3< <<,True,{FC12677F-42F8-4790-AD69-685088ED7E5F},6/30/2014 0:00,Hi nDi! *,UP78 2012%784526%,V92 & 32809,n80ovem : ber,"A >?""rab",dv48,4.7js 2&,Al 4exandra C90lave,O+5 6?,local,5/31/1991,,"D)(,AJ %PC4150P",5485 5000 8000,AP45 19562435673,A1045608
31.0,750246141,adventure-works\margie0,4,Margie,W,Shoop,,Production Technician - WC60,1$,abc,818-555-0128,Cell,margie0@adventure-works.com,435@ 0 Min ()ute Dr.$$,,Ken^^^more 45,W :()))a shington,ahd)))98054,XG ZF@E 722%5A,1234abcd4571,"48039""""""""Pnck0513",United States,1/29/1969,9,Single,{{{ F}}}},2/20/2011,#VALUE!,FALSE,18,3 :{)(4,True,{352D6E2F-655B-49A2-9FEC-EFD7D8CD0D30},6/30/2014 0:00,Po l@iSH,AP45-300057315628,K $@76 09071,sep72498 ^tember,&#@Ger !~man,xa^)15,12.45 &^%$,Rob 17Watt,A& )(+,vending,6/15/1989,abc,XG ZF@E 722%5A,3066 2940 6413,AP45 19562435673,A1045608
32.0,330211482,adventure-works\rebecca0,4,Rebecca,A,Laszlo,,Production Technician - WC60,5 nd ),Saturday,314-555-0113,Cell,rebecca0@adventure-works.com,9 sh^559 Worth32 %%% Cft.,,Both {!ell,Washington,"55402""""""",C$$ !!TUG E1616I,9876zxcv5682,hsdzcbvb 755284520,United States,6/16/1980,,Married,&@M,2/21/2011,#VALUE!,FALSE,23,É2:: ???? ?4\,True,{BDADEB5C-A596-4DA1-88BA-842C7A0CC10F},6/30/2014 0:00,Ru $$sssian,SP12 20084567289,L12 290RT 76,febu14$rary,,6 ^&6 fs,,Pe46 ter Parker,30 *& B+,intern,1/4/1991,Saturday,BXOTB9065C,7322 8440 2681,SP12 20084567289,L12 290RT 76
33.0,801758002,adventure-works\annik0,4,Annik,O,Stahl,,Production Technician - WC60,4t h,Sunda y,499-555-0125,Work,annik0@adventure-works.com,2139 Bir *(chwo ()od D@#r,,R 45edmond,W>>>>><<<++!ashington,(+98004),,1234ghjk7893,35 ^^^^djdsbjvz2070717,United States,5/2/1962,99,Married,MA& LE,2/22/2011,#VALUE!,FALSE,17,2:02,True,{51FDE6AC-BD50-467C-90E5-10CA7310455C},6/30/2014 0:00,e Ng (lish,UK06 20203718496,A10 V37910,7327april^&,Indo )(Aryan,803,4.7js 2&,B obM5arley,?>45A negative-,floor,6/25/1989,Sunda y,,3425 0653 1151,UK06 20203718496,A10 V37910
34.0,754372876,adventure-works\suchitra0,4,Suchitra,O,Mohan,,Production Technician - WC60,13 %th,Wed,753-555-0129,Cell,suchitra0@adventure-works.com,7 6 ^%78 Lak &eview Blv {}d.,,"Rent36)* o """"n","C ,,,@!alifornia",98055doxck,B A123&&!!!@45 6ÓM2,123@#4567nn,53 1***)dja25621009878,United States,3/19/1976,100,Married,F,2/23/2011,3/19/2036,FALSE,15,22-pr,True,{6ADBD932-0DA5-4F5C-AF67-8E3A53630896},6/30/2014 0:00,A F r&ican,Hp45 198625471896,A0296459,Ja (nua ry,Al&% bani)(an,5 0,8dajds,Step45hen Hawking,44 *B-negative,local,2/15/1989,Wed,AGPCB3705U,3968 4957 8725,Hp45 198625471896,A1045608
35.0,999440576,adventure-works\brandon0,4,Brandon,G,Heidepriem,,Production Technician - WC60,3r Àd,Tue,429-555-0137,Cell,brandon0@adventure-works.com,11 435 Bre &*ck Cour &#t,,Re &^ nto|||n,\\\\\Washington,100 ldazj! 028,"DA ?""{}JP 12Ó22 ?24",1234abcd4571,PPP)(51125621009880,United States,,96,Married,M,2/24/2011,#VALUE!,FALSE,22,""" 40:st r",True,{CA5D1935-44E2-4C45-93BB-809E59F56796},6/30/2014 0:00,P &olish,hr06 201278904569,Q2096455,Feb %%,,11 *& 0,8 ^.8,Ma noj263 Bajpayee,A ()B+,vending,1/8/1989,Tue,"DA ?""{}JP 12Ó22 ?22",8587 9139 2785,hr06 201278904569,A1045608
36.0,788456780,adventure-works\jose0,4,Jose,R,Lugo,,Production Technician - WC60,12t )(h,,587-555-0115,Cell,jose0@adventure-works.com,5672 B^&%@ el Ai>< r Dr.,,"Re :""dm +_ond",||___| ???1Washington,"98vsxj""203",XGZ 4@!][5D2Ó136,9876zxcv5682,51125623 ____dusjf009878,United States,3/6/1978,106,Married,M,2/25/2011,#VALUE!,FALSE,20,87++,True,{9E912556-88BA-41EE-B946-CB84AB4C1102},6/30/2014 0:00,C #hine $SE,HR06 19$ 4556251469,12096459,Mar !!! ch,Indo )(Aryan,1+_5,1.4d (),Al 4exandra C90lave,,intern,4/15/1989,,XG ZF@E 722%5A,9502 1517 6995,AP45 19562435673,12096459
37.0,442121106,adventure-works\chris2,4,Chris,O,Okelberry,,Production Technician - WC60,4 m>,Tuesdy,315-555-0144,Cell,chris2@adventure-works.com,7050 L^a%^ ur &?~! el,,"Ev e 77 "":26rett",Was %%%hington,"98a 0 ""@06",BA */'\123Ó45 6M3,9876tyui9004,"53 """"""""125621009878",United States,1/29/1971,12,Single,fem :::ale,2/26/2011,#VALUE!,FALSE,16,5 LLLL4,True,{77B384C7-AFFB-4816-992B-F5B3034EE4FF},6/30/2014 0:00,J a panes e,,A0296460,ap #@r,Al&% bani)(an,1285,3.1yt%,P 78riya Nutan,,floor,6/25/1989,Tuesdy,BA */'\123Ó45 6M1,9826 6359 8852,,A1045608
38.0,6298838,adventure-works\kim1,4,Kim,B,Abercrombie,,Production Technician - WC60,5RT&,Friday,208-555-0114,Cell,kim1@adventure-works.com,477 Sa nt #@a Mar (ia,,"Re"":dmÉÉond",____W ashingt 83onÉ,_ __94111,,7865ghjk8904,5112++++^^^ajm5621009880,United States,,15,Married,M1620,2/27/2011,#VALUE!,FALSE,24,4IO2,True,{891C27F4-28CC-44BB-BEA3-DA5EA7FBE957},6/30/2014 0:00,e Ng (lish,AP45-300057315629,Q2096456,ma%y$,W hi&5te,1440,12.45 &^%$,Rob 17Watt,,local,3/28/1989,Friday,,3052 7875 6145,AP45 19562435673,A1045608
